legacy_charge_key,legacy_student_id,cycle_code,concept_code,coverage_year,coverage_month,original_amount,due_date,origin,status,legacy_period,legacy_price_id,price_resolution
ae5f806a-46b0-4a53-8eb3-9a5dd3e9d0dd|ENROLLMENT_FEE|25-26,ae5f806a-46b0-4a53-8eb3-9a5dd3e9d0dd,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-05,LEGACY_MIGRATION,ACTIVE,INS,8e58c79f-c8d3-4d0a-8c4a-5ee7529c0fe2,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
afa0658f-b7b9-4fb1-997b-0e0fcf93b4e1|ENROLLMENT_FEE|25-26,afa0658f-b7b9-4fb1-997b-0e0fcf93b4e1,25-26,ENROLLMENT_FEE,,,1100.00,2024-02-28,LEGACY_MIGRATION,ACTIVE,INS,,VERIFIED_HISTORICAL_OVERRIDE
b032b2a8-6144-4f39-8707-e4b41330b9d8|ENROLLMENT_FEE|25-26,b032b2a8-6144-4f39-8707-e4b41330b9d8,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,384b5652-e2d2-45f7-ac53-6b8bcb010c25,DUE_DATE:EXACT_OR_PRIOR
b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|ENROLLMENT_FEE|25-26,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,25-26,ENROLLMENT_FEE,,,1000.00,2025-09-05,LEGACY_MIGRATION,ACTIVE,INS,,VERIFIED_HISTORICAL_OVERRIDE
bcb7ffd8-0cfa-449a-88d5-626f505cb19c|ENROLLMENT_FEE|25-26,bcb7ffd8-0cfa-449a-88d5-626f505cb19c,25-26,ENROLLMENT_FEE,,,1000.00,2026-02-03,LEGACY_MIGRATION,ACTIVE,INS,,VERIFIED_HISTORICAL_OVERRIDE
bfce22f5-d7f1-4b93-8fc1-eb5907831b0c|ENROLLMENT_FEE|25-26,bfce22f5-d7f1-4b93-8fc1-eb5907831b0c,25-26,ENROLLMENT_FEE,,,2000.00,2025-09-24,LEGACY_MIGRATION,ACTIVE,INS,c21d4877-be02-4e01-9260-0bb3dea73df3,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554|ENROLLMENT_FEE|25-26,c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-02,LEGACY_MIGRATION,ACTIVE,INS,25d33bae-08e8-47b5-ada8-694fdd838d22,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
d08fe665-bb14-41a1-b1b8-902320280075|ENROLLMENT_FEE|25-26,d08fe665-bb14-41a1-b1b8-902320280075,25-26,ENROLLMENT_FEE,,,2000.00,2025-06-20,LEGACY_MIGRATION,ACTIVE,INS,f2d95cfa-8f33-475f-8647-f16260d4a7df,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
d81e498e-7690-4676-9957-8b832ccf8ea0|ENROLLMENT_FEE|25-26,d81e498e-7690-4676-9957-8b832ccf8ea0,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-30,LEGACY_MIGRATION,ACTIVE,INS,5457b412-9f54-408f-b045-8d6ca3ff63fb,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
d8b23e94-04f7-4eed-9748-9c90f9758257|ENROLLMENT_FEE|25-26,d8b23e94-04f7-4eed-9748-9c90f9758257,25-26,ENROLLMENT_FEE,,,2400.00,2025-09-17,LEGACY_MIGRATION,ACTIVE,INS,8756b21b-9b36-430e-bb0b-ff3380c91d32,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
df9c3a2b-804a-47bc-9b11-eb45575dad16|ENROLLMENT_FEE|25-26,df9c3a2b-804a-47bc-9b11-eb45575dad16,25-26,ENROLLMENT_FEE,,,1100.00,2025-02-05,LEGACY_MIGRATION,ACTIVE,INS,550b176a-596d-478b-81a5-38265b0ef84e,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
e2808836-b027-41af-8918-de113abd6e4a|ENROLLMENT_FEE|25-26,e2808836-b027-41af-8918-de113abd6e4a,25-26,ENROLLMENT_FEE,,,2500.00,2025-09-01,LEGACY_MIGRATION,ACTIVE,INS,6366b212-f1e7-44a1-8e7a-163a142d3e5e,FIRST_ENROLLMENT_PAYMENT_DATE:EXACT_OR_PRIOR
