legacy_agreement_key,legacy_student_id,concept_code,legacy_price_id,base_amount_snapshot,benefit_type_snapshot,benefit_value_snapshot,agreed_amount,valid_from,valid_until,reason,source
2a01ea65-7487-4834-ab23-855018d8868e|TUITION|2025-09-03,2a01ea65-7487-4834-ab23-855018d8868e,TUITION,509261cd-523a-4758-819e-7143106d0417,1600.00,FIXED_AMOUNT,100.00,1500.00,2025-09-03,,corrección de beca ajuste,LEGACY_PRICE_HISTORY
abea3641-4bdf-451a-8710-fa95ab34cab7|TUITION|2025-09-02,abea3641-4bdf-451a-8710-fa95ab34cab7,TUITION,35b99716-23cf-4119-991e-1e019154055d,1600.00,,,1600.00,2025-09-02,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
fa437269-6375-40e4-87dc-f133c454a67b|TUITION|2025-09-01,fa437269-6375-40e4-87dc-f133c454a67b,TUITION,35c29cda-b0b5-40ad-93ae-c1e6892a3060,1600.00,FIXED_AMOUNT,700.00,900.00,2025-09-01,,beca familiar,LEGACY_PRICE_HISTORY
3f6663d7-9b89-4ea2-9f06-5035caff6390|ENROLLMENT_FEE|2025-09-01,3f6663d7-9b89-4ea2-9f06-5035caff6390,ENROLLMENT_FEE,35fa272a-83ce-43e0-8537-b83e715e380f,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
00fca4aa-70ed-464e-822f-6272cba1d93e|TUITION|2025-09-02,00fca4aa-70ed-464e-822f-6272cba1d93e,TUITION,3814001c-ad8d-4b3d-95a5-18e85466df76,1600.00,FIXED_AMOUNT,200.00,1400.00,2025-09-02,,Beca Fran,LEGACY_PRICE_HISTORY
b032b2a8-6144-4f39-8707-e4b41330b9d8|ENROLLMENT_FEE|2025-09-01,b032b2a8-6144-4f39-8707-e4b41330b9d8,ENROLLMENT_FEE,384b5652-e2d2-45f7-ac53-6b8bcb010c25,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
3523dbd3-f616-4c1d-9a52-db64d88e0b23|TUITION|2025-09-02,3523dbd3-f616-4c1d-9a52-db64d88e0b23,TUITION,3aa656fa-1554-4e93-af68-9d6e0da1defd,1600.00,FIXED_AMOUNT,200.00,1400.00,2025-09-02,,beca fran,LEGACY_PRICE_HISTORY
a289cbad-dbdb-4e9c-8afd-aeef6bbd7fcb|ENROLLMENT_FEE|2025-02-05,a289cbad-dbdb-4e9c-8afd-aeef6bbd7fcb,ENROLLMENT_FEE,3c178cc7-2e48-4026-a480-9627fc956524,1100.00,,,1100.00,2025-02-05,,,LEGACY_PRICE_HISTORY
d2ce7388-b95d-4fac-865f-c1372e8f1f99|TUITION|2025-09-01,d2ce7388-b95d-4fac-865f-c1372e8f1f99,TUITION,4295aa52-42bd-403f-a125-11434f7738d9,1600.00,FIXED_AMOUNT,1600.00,0.00,2025-09-01,,beca fran,LEGACY_PRICE_HISTORY
2a0d752a-79d5-4658-bf0d-64b137383ac6|TUITION|2025-09-01,2a0d752a-79d5-4658-bf0d-64b137383ac6,TUITION,43151efd-c4b0-41cd-8b8e-3d8a24105cb0,1600.00,FIXED_AMOUNT,700.00,900.00,2025-09-01,,beca familia,LEGACY_PRICE_HISTORY
b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40|TUITION|2026-04-13,b7f24e9c-6a1d-4b5a-9b34-c72abe5f4c40,TUITION,452391a9-df0b-4e95-9c7b-09c88b0413d5,1600.00,,,1600.00,2026-04-13,,Alta inicial,LEGACY_PRICE_HISTORY
69450844-df68-4eb9-a465-967c31417074|TUITION|2025-09-02,69450844-df68-4eb9-a465-967c31417074,TUITION,462d8bd8-af76-4074-ad89-7a7df766dfd3,1600.00,,,1600.00,2025-09-02,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
e3a81bd9-718d-4a32-8722-37f4723b7edc|ENROLLMENT_FEE|2025-09-01,e3a81bd9-718d-4a32-8722-37f4723b7edc,ENROLLMENT_FEE,4762070a-4953-45bc-818a-7853477b1e1c,2500.00,,,2500.00,2025-09-01,,,LEGACY_PRICE_HISTORY
7c1e9bdc-6090-4313-a14b-1a94d13eeec8|TUITION|2025-09-01,7c1e9bdc-6090-4313-a14b-1a94d13eeec8,TUITION,488fd021-97bb-423d-ac59-ff17fba86c0e,1500.00,FIXED_AMOUNT,1500.00,0.00,2025-09-01,,hija de maestra,LEGACY_PRICE_HISTORY
0aca2748-83a1-4b8f-ae90-c4e31231af74|TUITION|2025-09-02,0aca2748-83a1-4b8f-ae90-c4e31231af74,TUITION,4a6a23e1-4eb5-4d94-8745-1497a96a8628,1600.00,FIXED_AMOUNT,1600.00,0.00,2025-09-02,,hija de maestra,LEGACY_PRICE_HISTORY
273286ee-1011-4ae2-828e-974f625a6fd2|TUITION|2025-09-03,273286ee-1011-4ae2-828e-974f625a6fd2,TUITION,4c597a59-0038-42a9-b4dc-0834decf3f6f,1600.00,,,1600.00,2025-09-03,,Alta inicial (personalizada),LEGACY_PRICE_HISTORY
