legacy_id,legacy_student_id,legacy_cycle_id,cycle_code,education_level_code,grade_sort_order,classification_code,status,enrolled_on,classes_start_on,closed_on,academic_participation_override
25-26:c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554,c94e75bd-f940-4e2f-a9b3-2d1dc8ad0554,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:d08fe665-bb14-41a1-b1b8-902320280075,d08fe665-bb14-41a1-b1b8-902320280075,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:d2ce7388-b95d-4fac-865f-c1372e8f1f99,d2ce7388-b95d-4fac-865f-c1372e8f1f99,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,6,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:d81e498e-7690-4676-9957-8b832ccf8ea0,d81e498e-7690-4676-9957-8b832ccf8ea0,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:d8b23e94-04f7-4eed-9748-9c90f9758257,d8b23e94-04f7-4eed-9748-9c90f9758257,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:df9c3a2b-804a-47bc-9b11-eb45575dad16,df9c3a2b-804a-47bc-9b11-eb45575dad16,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:e2808836-b027-41af-8918-de113abd6e4a,e2808836-b027-41af-8918-de113abd6e4a,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:e3a81bd9-718d-4a32-8722-37f4723b7edc,e3a81bd9-718d-4a32-8722-37f4723b7edc,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:e57db8cf-8012-4fa3-b822-41d98008dc00,e57db8cf-8012-4fa3-b822-41d98008dc00,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,5,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:e5a7742b-06e9-4add-a1c7-4049a93b2b75,e5a7742b-06e9-4add-a1c7-4049a93b2b75,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:ea4ba647-d045-4e06-ae83-397c1aa0fb8d,ea4ba647-d045-4e06-ae83-397c1aa0fb8d,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:eb5427dd-f41c-4408-8815-26493a90c351,eb5427dd-f41c-4408-8815-26493a90c351,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,OFFICIAL_SEP,BAJA,2025-09-01,2025-09-01,,
25-26:edd2b7ac-5bca-4650-8c2e-75f65e70849f,edd2b7ac-5bca-4650-8c2e-75f65e70849f,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:f0fe1f2d-d8f7-4f5d-b713-d15b3cc1f577,f0fe1f2d-d8f7-4f5d-b713-d15b3cc1f577,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,CAMPUS,BAJA,2025-09-01,2025-09-01,,
25-26:f425a981-e85a-4cb0-95a0-1de810c18a53,f425a981-e85a-4cb0-95a0-1de810c18a53,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,3,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:f55dbff7-6831-4d96-8262-f103ccf4bd43,f55dbff7-6831-4d96-8262-f103ccf4bd43,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PREESCOLAR,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:f5bb300e-d8ed-4cca-b176-cb11e46338bd,f5bb300e-d8ed-4cca-b176-cb11e46338bd,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,6,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:f618e808-f64d-40f7-ac44-d3b6ddc0f0a7,f618e808-f64d-40f7-ac44-d3b6ddc0f0a7,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:f9b527e1-7319-4c6c-b3bf-431bf9843bfb,f9b527e1-7319-4c6c-b3bf-431bf9843bfb,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,2,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:fa437269-6375-40e4-87dc-f133c454a67b,fa437269-6375-40e4-87dc-f133c454a67b,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,1,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
25-26:fdee6234-bf6d-4d45-bbd4-731a1c453987,fdee6234-bf6d-4d45-bbd4-731a1c453987,fddaf8e9-6acb-4f4d-9e99-d57f7fba847d,25-26,PRIMARIA,4,OFFICIAL_SEP,ACTIVA,2025-09-01,2025-09-01,,
